formula,aic,rSquare,warn
route ~ + children + flowRate + income + modelYear + travelTime,23.5790625,0.77427,
route ~ + flowRate + maritalStatus + sex + travelTime,24.72883201,0.71287,
route ~ + flowRate + origin + passengers + sex + travelTime,24.59874789,0.75439,
route ~ + distance + maritalStatus + modelYear + passengers + sex,27.10914408,0.70546,
route ~ + age + distance + maritalStatus + passengers,24.93800653,0.70879,
route ~ + children + flowRate + income + origin + travelTime,24.81970151,0.75009,
route ~ + age + lights + sex,38.35042997,0.40833,
route ~ + flowRate + maritalStatus + modelYear + sex + travelTime,23.29026769,0.7799,
route ~ + flowRate + modelYear + passengers,21.79831281,0.73101,
route ~ + children + flowRate + lights + passengers + travelTime,20.3001626,0.83819,
route ~ + age + lights + modelYear + seatBelts + travelTime,38.25914998,0.48809,
route ~ + children + distance + modelYear + travelTime,27.47837502,0.65927,
route ~ + flowRate + origin + seatBelts,24.14676591,0.68523,
route ~ + lights + modelYear + origin + travelTime,37.92730334,0.45557,
route ~ + distance + income + origin + seatBelts + sex,29.42831857,0.66024,
route ~ + age + income + lights + origin + travelTime,40.53274128,0.44377,
route ~ + flowRate + modelYear + sex,21.91094028,0.72881,
route ~ + lights + origin + sex,39.27589955,0.39029,
route ~ + distance + income + maritalStatus + origin,28.78237219,0.63385,
route ~ + flowRate + income + maritalStatus + travelTime,24.74142279,0.71262,
route ~ + flowRate + maritalStatus + sex,24.5979219,0.67643,
route ~ + children + distance + maritalStatus + modelYear,28.29245525,0.6434,
route ~ + age + distance + income + seatBelts,26.76794774,0.67312,
route ~ + distance + flowRate + sex,13.41257894,0.89448,
route ~ + flowRate + modelYear + origin + passengers,22.79606457,0.75055,
route ~ + flowRate + maritalStatus + modelYear + passengers + travelTime,23.28664779,0.77997,
route ~ + age + children + distance + income + travelTime,25.80452567,0.73089,
route ~ + age + children + distance + maritalStatus + passengers,25.6663776,0.73358,
route ~ + distance + maritalStatus + origin + passengers + sex,28.23785637,0.68345,
route ~ + distance + income + modelYear + passengers + sex,27.36731985,0.70042,
route ~ + flowRate + income + lights + passengers,20.74156926,0.7906,
route ~ + age + distance + income + seatBelts + travelTime,26.35152867,0.72022,
route ~ + age + income + lights + travelTime,39.52439816,0.42444,
route ~ + lights + origin,38.77251105,0.36112,
route ~ + children + flowRate + lights + passengers + seatBelts,21.17825116,0.82107,
route ~ + flowRate + lights + maritalStatus + passengers,20.74589845,0.79051,
route ~ + distance + sex + travelTime,27.7656777,0.61468,
route ~ + age + children + lights + modelYear + origin,38.07371572,0.49171,
route ~ + flowRate + income + modelYear + sex + travelTime,23.62794062,0.77332,
route ~ + children + flowRate + income + lights + seatBelts,21.20183574,0.82062,
route ~ + flowRate + income + lights + origin + passengers,21.85023801,0.80797,
